"Date","Price","Open","High","Low","Vol.","Change %"
"01/29/2024","199.41","196.16","199.41","195.09","29.23M","1.75%"
"01/26/2024","195.98","196.89","197.89","195.38","33.48M","0.01%"
"01/25/2024","195.97","197.10","197.66","194.41","37.66M","0.83%"
"01/24/2024","194.36","198.38","198.46","194.12","41.12M","-0.82%"
"01/23/2024","195.97","198.22","198.59","194.98","42.47M","-0.29%"
"01/22/2024","196.54","194.15","196.82","194.09","42.38M","2.14%"
"01/19/2024","192.43","191.29","192.85","189.23","63.34M","0.96%"
"01/18/2024","190.60","190.71","191.17","188.21","41.76M","0.59%"
"01/17/2024","189.48","188.13","189.93","187.52","37.79M","-0.71%"
"01/16/2024","190.84","191.72","193.26","190.11","42.21M","-1.24%"
"01/12/2024","193.23","195.89","197.10","192.64","42.99M","-0.17%"
"01/11/2024","193.55","194.50","194.74","191.30","48.94M","-0.78%"
"01/10/2024","195.08","194.74","195.38","193.08","35.08M","0.06%"
"01/09/2024","194.97","194.35","195.77","193.32","29.00M","-0.89%"
"01/08/2024","196.73","193.29","196.97","192.26","31.55M","1.80%"
"01/05/2024","193.25","192.69","195.46","192.29","40.96M","-0.29%"
"01/04/2024","193.82","194.06","195.49","193.69","43.11M","-0.20%"
"01/03/2024","194.20","197.40","197.67","193.78","57.53M","-2.67%"
"01/02/2024","199.52","199.40","201.62","198.44","44.34M","-0.59%"
"12/29/2023","200.71","203.48","204.03","200.71","41.50M","-1.63%"
"12/28/2023","204.04","203.79","205.16","203.28","28.93M","-0.38%"
"12/27/2023","204.82","204.44","205.49","203.40","35.81M","0.35%"
"12/26/2023","204.10","202.21","204.56","201.69","26.88M","1.30%"
"12/22/2023","201.48","200.88","202.81","200.19","39.17M","0.93%"
"12/21/2023","199.62","198.50","199.82","197.52","38.61M","1.70%"
"12/20/2023","196.28","199.86","202.17","196.16","62.36M","-2.31%"
"12/19/2023","200.93","198.48","201.30","198.02","52.16M","1.94%"
"12/18/2023","197.11","197.96","198.77","196.68","44.45M","0.04%"
"12/15/2023","197.04","198.95","199.55","195.95","74.16M","-0.84%"
"12/14/2023","198.71","196.87","200.04","196.48","83.65M","2.78%"
"12/13/2023","193.33","187.10","193.64","185.67","69.48M","3.39%"
"12/12/2023","187.00","186.97","187.65","185.34","32.02M","-0.10%"
"12/11/2023","187.19","186.68","187.62","185.88","29.30M","0.21%"
"12/08/2023","186.80","185.15","187.75","184.86","36.09M","0.76%"
"12/07/2023","185.39","184.33","185.56","183.39","32.66M","0.72%"
"12/06/2023","184.06","185.70","187.92","183.79","43.64M","-0.18%"
"12/05/2023","184.39","186.05","186.05","183.98","36.87M","-1.34%"
"12/04/2023","186.89","184.23","186.99","184.02","44.86M","1.07%"
"12/01/2023","184.91","179.20","185.18","178.21","64.22M","2.92%"
"11/30/2023","179.66","180.05","180.64","178.76","32.22M","0.38%"
"11/29/2023","178.98","179.55","181.75","178.70","31.59M","0.53%"
"11/28/2023","178.04","178.55","179.22","177.20","28.35M","-0.39%"
"11/27/2023","178.73","178.50","179.11","177.23","30.67M","-0.33%"
"11/24/2023","179.33","178.05","179.73","177.80","13.85M","0.67%"
"11/22/2023","178.13","178.18","179.39","177.42","28.98M","0.63%"
"11/21/2023","177.02","178.24","178.51","176.91","30.46M","-1.29%"
"11/20/2023","179.33","178.52","179.65","177.74","26.70M","0.58%"
"11/17/2023","178.29","177.45","178.64","177.10","43.44M","1.37%"
"11/16/2023","175.88","178.14","178.63","175.15","46.62M","-1.62%"
"11/15/2023","178.77","178.35","181.76","178.11","59.64M","0.17%"
"11/14/2023","178.46","174.23","178.47","174.22","77.61M","5.49%"
"11/13/2023","169.17","168.24","169.77","167.52","27.61M","0.04%"
"11/10/2023","169.11","168.22","169.71","166.79","36.15M","1.12%"
